"Timestamp","How many SQL servers does your company manage?","How many SQL Server databases does your company manage?","What's your total SQL Server database volume?","What's your biggest SQL Server database?","How many SQL Server DBAs does your company employ?","What versions of SQL are you using?","Which of these features are you using?","What do you use for backups?","How are you testing your SQL Server backups?","What SQL Server HA/DR tools/features do you use?","What's your biggest worry or pain for your SQL Server backups? (i.e. having enough space, getting done within backup window, having access in an emergency)"
"2018/01/30 11:15:23 PM MST","1-10","1-25","0-10TB","1TB-5TB","2-5","SQL 2016","Compression - Page or Row;In Memory OLTP","“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Log Shipping",""
"2018/01/31 12:14:27 AM MST","100+","2001+","50TB+","Over 10TB","11+","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","Space, Duration, no DR."
"2018/01/31 12:33:36 AM MST","100+","2001+","50TB+","5TB-10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Filestream;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Third party DR tool (Double Take, SIOS, etc.)","Getting 3rd party backup company to respond in a timely fashion and without several stupid questions."
"2018/01/31 1:00:46 AM MST","100+","501-2000","25TB-50TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups","Backup window"
"2018/01/31 1:16:50 AM MST","100+","501-2000","25TB-50TB","1TB-5TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Change Data Capture;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Database Mirroring","Tlog backups fail due to some wird reason. Backup mechanism is commvault"
"2018/01/31 2:58:17 AM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","","atm we don't do periodic restores"
"2018/01/31 3:03:35 AM MST","50-100","2001+","10TB-25TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Filestream","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Availability Groups",""
"2018/01/31 3:50:31 AM MST","100+","501-2000","50TB+","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row;In Memory OLTP","Maintenance Plans;“Roll Your Own” / Internally developed scripts","Backup job verification","Log Shipping","cost of cluster solutions (like Always ON)"
"2018/01/31 4:24:55 AM MST","1-10","26-100","10TB-25TB","1TB-5TB","2-5","SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Log Shipping","Having enough space"
"2018/01/31 4:42:35 AM MST","100+","2001+","50TB+","Over 10TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Compression - Page or Row;Filestream;In Memory OLTP;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring",""
"2018/01/31 5:22:57 AM MST","100+","2001+","50TB+","Over 10TB","6-10","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row;Filestream","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","No verification/testing","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","meeting RTO for large databases due to slow/inconsistent/unpredictable restore speed"
"2018/01/31 6:17:37 AM MST","50-100","501-2000","10TB-25TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Filestream","Maintenance Plans;“Roll Your Own” / Internally developed scripts","No verification/testing","Failover Cluster Instance","not having a verification process in place"
"2018/01/31 7:17:17 AM MST","25-50","501-2000","50TB+","5TB-10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Column Store Index;In Memory OLTP","Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Database Mirroring","To break the chain of full backup and differential and not be able to restore it back"
"2018/01/31 7:57:01 AM MST","1-10","1-25","10TB-25TB","1TB-5TB","1","SQL 2012;SQL 2016;SQL 2017","Change Data Capture;Column Store Index;In Memory OLTP","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Availability Groups;Log Shipping","Have the right backup of the right source in right moment :)"
"2018/01/31 8:00:02 AM MST","10-25","26-100","0-10TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups",""
"2018/01/31 8:07:17 AM MST","25-50","26-100","10TB-25TB","0-1TB","1","SQL 2012;SQL 2014;SQL 2016","Column Store Index;Filestream;In Memory OLTP","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Backup job verification;Restore to another system and run DBCC","","Having enough space"
"2018/01/31 8:13:03 AM MST","50-100","2001+","10TB-25TB","5TB-10TB","11+","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring",""
"2018/01/31 8:43:38 AM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance","The time window is my largest constraint. "
"2018/01/31 9:04:46 AM MST","100+","501-2000","10TB-25TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Filestream;In Memory OLTP;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Log Shipping","All of the above but I’m limited by a pathetic 1gb nic, so until that changes it’s FML. "
"2018/01/31 9:26:20 AM MST","1-10","1-25","10TB-25TB","1TB-5TB","1","SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Log Shipping;Database Mirroring",""
"2018/01/31 9:34:19 AM MST","100+","2001+","50TB+","5TB-10TB","11+","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Availability Groups;Log Shipping","Space is always the issue and of course we are still trying to figure out how to get more hours in a 24 hour day."
"2018/01/31 9:42:42 AM MST","100+","2001+","50TB+","Over 10TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Column Store Index;Compression - Page or Row;Filestream;In Memory OLTP;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Failover Cluster Instance;Availability Groups;Database Mirroring","Complexity "
"2018/01/31 9:59:36 AM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2014","","Maintenance Plans","Backup job verification","",""
"2018/01/31 10:07:04 AM MST","50-100","101-500","50TB+","Over 10TB","6-10","SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row","Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Log Shipping;Database Mirroring","Restore time"
"2018/01/31 10:27:55 AM MST","10-25","26-100","0-10TB","0-1TB","1","SQL 2012;SQL 2016;SQL 2017","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Failover Cluster Instance;Availability Groups","speed of backups / access when needed. "
"2018/01/31 10:34:52 AM MST","50-100","2001+","25TB-50TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Backup job verification","Failover Cluster Instance;Log Shipping",""
"2018/01/31 10:39:26 AM MST","25-50","26-100","25TB-50TB","Over 10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Filestream;In Memory OLTP","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","Backup window"
"2018/01/31 10:46:16 AM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","",""
"2018/01/31 10:55:03 AM MST","1-10","26-100","0-10TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Third party DR tool (Double Take, SIOS, etc.)","Having enough space"
"2018/01/31 11:18:10 AM MST","1-10","1-25","0-10TB","0-1TB","2-5","SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing","Availability Groups","Not enough space to test and validate backups, let alone restore side by side, god forbid anything were to happen. "
"2018/01/31 11:40:13 AM MST","100+","2001+","25TB-50TB","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row;Filestream","Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Backup job verification;Restore to another system and run DBCC","Database Mirroring","Log backups failing, drives filling up - dreaded 3am calls!"
"2018/01/31 11:47:11 AM MST","100+","501-2000","10TB-25TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row","“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Log Shipping","Space issues, validating log chains"
"2018/01/31 1:11:37 PM MST","10-25","26-100","0-10TB","0-1TB","2-5","SQL 2016","Transparent Data Encryption (TDE)","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Failover Cluster Instance",""
"2018/01/31 1:38:48 PM MST","100+","2001+","50TB+","Over 10TB","6-10","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;In Memory OLTP;Transparent Data Encryption (TDE)","“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing;Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups","Time, throughput "
"2018/01/31 2:34:30 PM MST","100+","2001+","50TB+","Over 10TB","6-10","SQL 2014;SQL 2016;SQL 2017","Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping",""
"2018/01/31 3:10:20 PM MST","100+","2001+","25TB-50TB","1TB-5TB","6-10","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Compression - Page or Row;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring",""
"2018/01/31 3:25:04 PM MST","100+","501-2000","10TB-25TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;In Memory OLTP;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Availability Groups;Log Shipping",""
"2018/01/31 3:34:03 PM MST","100+","2001+","0-10TB","0-1TB","6-10","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","In Memory OLTP;Transparent Data Encryption (TDE)","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Availability Groups","Having access in during emergencies."
"2018/01/31 3:40:28 PM MST","50-100","101-500","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;Filestream","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Log Shipping",""
"2018/01/31 4:20:59 PM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","",""
"2018/01/31 5:23:02 PM MST","1-10","101-500","10TB-25TB","1TB-5TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Compression - Page or Row;Filestream;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups","Enough space"
"2018/01/31 5:31:03 PM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2012;SQL 2016","Filestream","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","",""
"2018/01/31 7:01:56 PM MST","1-10","26-100","10TB-25TB","0-1TB","2-5","SQL 2012","","“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Availability Groups","Space"
"2018/01/31 7:11:42 PM MST","100+","101-500","10TB-25TB","5TB-10TB","6-10","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row;Filestream;In Memory OLTP","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing;Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups","Slow restore times from EMC data domain"
"2018/01/31 9:05:09 PM MST","100+","2001+","50TB+","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row;Filestream","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","Network failures/We backup to a network archive"
"2018/01/31 11:06:23 PM MST","100+","2001+","50TB+","5TB-10TB","6-10","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012","","Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring",""
"2018/02/01 12:45:22 AM MST","50-100","2001+","50TB+","Over 10TB","2-5","SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row","“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","No verification/testing","Failover Cluster Instance","Replication over ""too"" many instances."
"2018/02/01 3:52:53 AM MST","100+","101-500","50TB+","Over 10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","“Roll Your Own” / Internally developed scripts","No verification/testing","Failover Cluster Instance;Availability Groups;Log Shipping","Space by far"
"2018/02/01 5:28:52 AM MST","10-25","26-100","10TB-25TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC",""," Space"
"2018/02/01 8:04:33 AM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2","","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Failover Cluster Instance","Reliability of the backups. (can they be restored with corruption, quick enough)"
"2018/02/01 8:05:48 AM MST","100+","501-2000","10TB-25TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2017","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Backup job verification","Availability Groups;Log Shipping","Speed and performance of the backup "
"2018/02/01 8:06:27 AM MST","1-10","101-500","0-10TB","0-1TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2014","Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Database Mirroring","speed+space"
"2018/02/01 8:06:41 AM MST","1-10","26-100","25TB-50TB","5TB-10TB","2-5","SQL 2012","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","No verification/testing","Availability Groups","We don't verify the backups can be restored on a regular basis."
"2018/02/01 8:08:08 AM MST","100+","501-2000","10TB-25TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","","“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Availability Groups;Log Shipping;Third party DR tool (Double Take, SIOS, etc.)","The fact that we're not doing regular restore/validation/verification- and that the DBAs are isolated from the backups that are done using non-SQL tools (eg SnapManager)"
"2018/02/01 8:08:36 AM MST","25-50","501-2000","10TB-25TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Maintenance Plans;“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance","Not having real SLA for f#cks sake..."
"2018/02/01 8:08:45 AM MST","50-100","101-500","25TB-50TB","5TB-10TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row;Filestream","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Failover Cluster Instance;Log Shipping",""
"2018/02/01 8:09:26 AM MST","100+","2001+","50TB+","0-1TB","11+","SQL 2014;SQL 2016","Transparent Data Encryption (TDE)","Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Restore to another system and run DBCC","Third party DR tool (Double Take, SIOS, etc.)","slow speed to restore a complete environment"
"2018/02/01 8:09:32 AM MST","1-10","101-500","0-10TB","0-1TB","1","SQL 2000 / SQL 2005;SQL 2012;SQL 2016","Column Store Index","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Failover Cluster Instance;Log Shipping",""
"2018/02/01 8:12:08 AM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012","","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","",""
"2018/02/01 8:13:42 AM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Database Mirroring","Disk space"
"2018/02/01 8:14:36 AM MST","25-50","101-500","0-10TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Database Mirroring","Lack of restore testing and unknown RTO and RPO"
"2018/02/01 8:16:06 AM MST","1-10","1-25","0-10TB","0-1TB","2-5","SQL 2014","Column Store Index;Transparent Data Encryption (TDE)","Maintenance Plans","Backup job verification","","Their ever increasing size and the business need to copy them to test environments. "
"2018/02/01 8:16:36 AM MST","100+","501-2000","25TB-50TB","Over 10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Filestream;Transparent Data Encryption (TDE)","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping","Backup performed outside of SQL that doesn't restore. Our previous version of commvault couldnt' restore and roll forward logs on a DB that was over 1.5 TB. Not fun."
"2018/02/01 8:16:54 AM MST","25-50","101-500","10TB-25TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Filestream;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Availability Groups;Database Mirroring","Data growth with retention requirements"
"2018/02/01 8:17:05 AM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2014;SQL 2016","","Maintenance Plans;Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.)","Restore to another system and run DBCC","","Availability and reliability of the backups"
"2018/02/01 8:17:23 AM MST","1-10","26-100","0-10TB","0-1TB","2-5","SQL 2012;SQL 2016","Compression - Page or Row;Transparent Data Encryption (TDE)","“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Availability Groups","Having enough space"
"2018/02/01 8:18:21 AM MST","50-100","101-500","10TB-25TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Availability Groups","Storage issues"
"2018/02/01 8:19:57 AM MST","100+","501-2000","10TB-25TB","0-1TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Filestream;In Memory OLTP","Maintenance Plans;“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Third party DR tool (Double Take, SIOS, etc.);Database Mirroring","Reliability (both ""is the database backed up?"" and ""does the restore work?"")"
"2018/02/01 8:22:40 AM MST","50-100","501-2000","25TB-50TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Column Store Index;Compression - Page or Row","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Availability Groups;Database Mirroring","Completion in backup window "
"2018/02/01 8:25:10 AM MST","25-50","101-500","0-10TB","1TB-5TB","2-5","SQL 2012;SQL 2016","Column Store Index","Maintenance Plans;“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Database Mirroring","Space, copying across network."
"2018/02/01 8:27:13 AM MST","100+","2001+","50TB+","1TB-5TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Compression - Page or Row;Transparent Data Encryption (TDE)","“Roll Your Own” / Internally developed scripts","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance","Meeting RTO/RPO requirements"
"2018/02/01 8:28:40 AM MST","100+","2001+","50TB+","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Transparent Data Encryption (TDE)","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Log Shipping","Will database come online after restore"
"2018/02/01 8:32:56 AM MST","1-10","26-100","25TB-50TB","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Compression - Page or Row","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups","Time to restore."
"2018/02/01 8:35:48 AM MST","10-25","26-100","0-10TB","0-1TB","2-5","SQL 2012","","Maintenance Plans","No verification/testing","",""
"2018/02/01 8:36:27 AM MST","25-50","101-500","25TB-50TB","1TB-5TB","1","SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","","Disk space"
"2018/02/01 8:40:06 AM MST","100+","2001+","50TB+","1TB-5TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Compression - Page or Row;Transparent Data Encryption (TDE)","“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Gate Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Failover Cluster Instance;Availability Groups",""
"2018/02/01 8:40:10 AM MST","1-10","1-25","0-10TB","1TB-5TB","1","SQL 2014","","Maintenance Plans","Backup job verification;Restore to another system and run DBCC","Log Shipping",""
"2018/02/01 8:45:43 AM MST","25-50","101-500","10TB-25TB","1TB-5TB","2-5","SQL 2012;SQL 2014","Change Data Capture;Compression - Page or Row","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Database Mirroring",""
